,SurveyID,Age,Type,Employed,FullPart,OwnCell,UsedCell,@3OwnHousePhone,@4UseFreq,BQ4a,BQ4aCont,@5UseLength,BQ5a,BQ5aCont,@6aTexting,@6bEmail,@6cInternet,@6dBank,@6eBills,@6fFacebook,@6gPics,@6hGames,@6iBuy,@7PurchOnline,BQ7a,BQ7aCont,@8CellExper,BQ8a,BQ8b,Comfort,BQ9a,Satisfaction,BQ10a,PA1,PA2,PA3,PA4,PA5,PA6,PA7,PBI1,PBI2,PBI3,PBI4,PBIUse,PBIBuy,PGL1,PGL2,PGL3,Comments,VAR00001,Gender,PAnxiety,PBIntent,PAffect,PGL_sum,Income,Education
171,W250,64.0,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,,,,,,,,,6.0,5.0,23.0,5.0,4.0,3.0,6.0,1.0,5.0,1.0,6,6,6,6,6,1,1,6,1,6,1,6.0,1.0,9,9,9,,2,1,6.0,3.5,3.5,27,1.0,3
172,W293,64.0,1,2.0,,5.0,5.0,1.0,5.0,4.0,12.0,5.0,4.0,1.75,1.0,1.0,1.0,,,,1.0,1.0,,1.0,0.0,0.0,5.0,4.0,3.0,5.0,0.0,4.0,0.0,1,1,1,6,6,5,5,7,3,7,4,7.0,3.5,8,6,9,,4,1,1.0,5.25,5.5,23,1.0,4
173,W308,64.0,2,2.0,,5.0,3.0,1.0,4.0,3.0,4.0,2.0,1.0,0.25,,1.0,,,,,1.0,1.0,,6.0,5.0,23.0,5.0,4.0,3.0,6.0,1.0,3.0,-1.0,1,1,1,3,3,3,1,5,5,5,1,5.0,3.0,5,3,3,,2,1,1.0,4.0,2.5,11,5.0,3
174,S40,65.0,1,1.0,2.0,30.0,20.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,,,,,,,,,,1.0,0.0,0.0,,,,4.0,-1.0,2.0,-2.0,2,4,2,2,1,1,1,2,1,1,1,2.1,1.4,1,0,0,,3,0,2.6666666666666665,1.25,1.25,1,2.0,4
175,W022,65.0,1,2.0,,5.0,5.0,1.0,6.0,5.0,28.0,2.0,1.0,0.25,1.0,,,,,,,,,1.0,0.0,0.0,4.0,3.0,2.0,5.0,0.0,4.0,0.0,3,3,3,4,4,3,4,4,2,4,1,4.0,1.5,8,8,8,,1,0,3.0,2.75,3.75,24,1.0,2
176,W036,65.0,1,1.0,2.0,15.0,15.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,,1.0,,,2.0,1.0,3.0,5.0,4.0,3.0,5.0,0.0,4.0,0.0,1,1,1,7,7,7,4,7,5,7,2,7.0,3.5,10,10,10,,2,1,1.0,5.25,6.25,30,1.0,3
177,W043,65.0,3,1.0,2.0,7.0,7.0,1.0,5.0,4.0,12.0,2.0,1.0,0.25,1.0,,,,,,,,,1.0,0.0,0.0,5.0,4.0,3.0,6.0,1.0,5.0,1.0,1,1,1,5,5,3,3,6,1,6,1,6.0,1.0,8,8,8,,5,0,1.0,3.5,4.0,24,2.0,5
178,W067,65.0,1,2.0,,15.0,15.0,1.0,7.0,6.0,56.0,3.0,2.0,0.75,1.0,1.0,1.0,,,1.0,1.0,1.0,,1.0,0.0,0.0,6.0,5.0,4.0,5.0,0.0,4.0,0.0,1,1,1,7,5,7,4,7,3,6,2,6.5,2.5,10,10,10,,4,1,1.0,4.5,5.75,30,1.0,4
179,W077,65.0,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,5.0,4.0,1.75,1.0,1.0,1.0,,,,1.0,,,1.0,0.0,0.0,5.0,4.0,3.0,7.0,2.0,5.0,1.0,2,1,2,7,7,5,1,7,5,2,6,4.5,5.5,6,6,6,,4,1,1.6666666666666667,5.0,5.0,18,1.0,4
180,W080,65.0,1,2.0,,10.0,10.0,1.0,7.0,6.0,56.0,2.0,1.0,0.25,1.0,,,,,,,,,1.0,0.0,0.0,2.0,1.0,0.0,6.0,1.0,6.0,2.0,1,1,1,7,5,5,5,7,1,7,1,7.0,1.0,8,8,8,,1,1,1.0,4.0,5.5,24,1.0,2
181,W108,65.0,4,1.0,1.0,10.0,10.0,1.0,2.0,1.0,0.5,7.0,6.0,3.5,,,,,,,,,,1.0,0.0,0.0,3.0,2.0,1.0,8.0,3.0,5.0,1.0,1,1,1,7,7,4,4,7,1,7,1,7.0,1.0,10,10,10,,1,1,1.0,4.0,5.5,30,1.0,2
182,W171,65.0,1,2.0,,10.0,10.0,1.0,6.0,5.0,28.0,4.0,3.0,1.25,,,1.0,,,,1.0,,,2.0,1.0,3.0,4.0,3.0,2.0,6.0,1.0,6.0,2.0,7,5,7,7,7,5,6,6,6,6,7,6.0,6.5,8,9,10,,3,1,6.333333333333333,6.25,6.25,27,1.0,4
183,W195,65.0,1,2.0,,3.0,3.0,1.0,4.0,3.0,4.0,2.0,1.0,0.25,1.0,,,,,,,,,2.0,1.0,3.0,5.0,4.0,3.0,5.0,0.0,5.0,1.0,1,1,7,7,7,7,7,7,7,7,7,7.0,7.0,8,8,8,,2,1,3.0,7.0,7.0,24,1.0,3
